edizione,allegato,rigo,sezione,voce,capitolo_bilancio,cumulato_al_2021_pm,2022,2023,2024,2025,2026,totale_2022_2026,oltre_2026,totale_complessivo,pagina
CdP-S 2022-2026 - secondo atto integrativo (agg. 2024),4b fonti per cassa,2h,conto impianti,Fondo per la prosecuzione delle opere pubbliche ex DL 76/2020 art. 7 co. 1 (MIT Cap 7007),,,,2.99,0.05,,,3.03,,3.03,17
CdP-S 2022-2026 - secondo atto integrativo (agg. 2024),4b fonti per cassa,2i,conto impianti,Legge 39/2024 - DL Superbonus,7122,,,,,,140.8,140.8,1932.8,2073.6,17
CdP-S 2022-2026 - secondo atto integrativo (agg. 2024),4b fonti per cassa,2,conto impianti,Totale Fonti c/Impianti (*),,,545.0,2002.99,1419.94,1144.78,450.79,5563.5,4732.8,10296.3,17
CdP-S 2022-2026 - secondo atto integrativo (agg. 2024),4b fonti per cassa,3,totale fonti,Totale fonti,,,1707.66,3112.81,2385.49,2110.34,1516.35,10832.65,4732.8,15565.45,17
CdP-S 2022-2026 - secondo atto integrativo (agg. 2024),4b fonti per cassa,4,spesa residuo contratti precedenti,Manutenzione Straordinaria (Residuo CdP-S 2016-2021 e CdP 2012-2014),,7024.51,179.98,70.03,43.66,33.37,32.46,359.49,,7384.0,18
CdP-S 2022-2026 - secondo atto integrativo (agg. 2024),4b fonti per cassa,5a,fonti residuo contratti precedenti,Delibera CIPE n. 33 del 23.03.2012 (valore iniziale 300 mln€),7514,271.44,,,,,,0.0,,271.44,18
CdP-S 2022-2026 - secondo atto integrativo (agg. 2024),4b fonti per cassa,5b,fonti residuo contratti precedenti,"Art. 1, c. 175, della l. n. 228/2012 (Legge di Stabilità 2013 )",7122,300.0,,,,,,0.0,,300.0,18
CdP-S 2022-2026 - secondo atto integrativo (agg. 2024),4b fonti per cassa,5c,fonti residuo contratti precedenti,"Delibera CIPE 22 del 18.03.2013 - risorse a valere su art. 1, c. 1 76, della Legge n. 228/2012 (legge di stabilità 2013)",7122,338.0,,,,,,0.0,,338.0,18
CdP-S 2022-2026 - secondo atto integrativo (agg. 2024),4b fonti per cassa,5d,fonti residuo contratti precedenti,"Delibera CIPE 22 del 18.03.2013 - risorse a valere su art. 32, c. 1, del D.L. 98/2011",7518,240.0,,,,,,0.0,,240.0,18
CdP-S 2022-2026 - secondo atto integrativo (agg. 2024),4b fonti per cassa,5e,fonti residuo contratti precedenti,"Bilancio di previsione dello Stato (ridestinate da Legge n. 71 24.06.2013, art. 7-ter)",1541,262.89,,,,,,0.0,,262.89,18
CdP-S 2022-2026 - secondo atto integrativo (agg. 2024),4b fonti per cassa,5f,fonti residuo contratti precedenti,"Art 1, c‐ 73 della Legge 147 del 27.12.2013 (Legge Stabilità 2 014)",7122,500.0,,,,,,0.0,,500.0,18
CdP-S 2022-2026 - secondo atto integrativo (agg. 2024),4b fonti per cassa,5g,fonti residuo contratti precedenti,"Legge 147 del 27.12.2013 - Legge Stabilità 2014 (Tab E, cap 7 122 Pg2) - Resi operativi da Decreto-Legge 133/14 ""Sblocca Italia"" conv ertito in Legge 164 del 11.11.2014",7122,220.0,,,,,,0.0,,220.0,18
CdP-S 2022-2026 - secondo atto integrativo (agg. 2024),4b fonti per cassa,5h,fonti residuo contratti precedenti,Legge 190/14 del 23.12.2014 (Legge di Stabilità 2015) - PG5,7122,4198.35,15.65,,36.0,,,51.65,,4250.0,18
CdP-S 2022-2026 - secondo atto integrativo (agg. 2024),4b fonti per cassa,5i,fonti residuo contratti precedenti,Legge 208/2015 - Legge di Stabilità 2016 - PG2,7122,0.0,,,,,,0.0,222.03,222.03,18
CdP-S 2022-2026 - secondo atto integrativo (agg. 2024),4b fonti per cassa,5l,fonti residuo contratti precedenti,Piano Operativo Nazionale 2007-2013 (PON 07-13),,7.5,,,19.03,,,19.03,,26.53,18
CdP-S 2022-2026 - secondo atto integrativo (agg. 2024),4b fonti per cassa,5m,fonti residuo contratti precedenti,Legge 178/2020 - Legge di Bilancio 2021 -PG5,7122,0.0,52.0,50.0,50.0,50.0,50.0,252.0,500.0,752.0,18
CdP-S 2022-2026 - secondo atto integrativo (agg. 2024),4b fonti per cassa,5n,fonti residuo contratti precedenti,Fondo per l'adeguamento dei prezzi ex DL 73/2021 art. 1-septies c o. 8 (MIT Cap 7006),,0.0,1.1,,,,,1.1,,1.1,18
CdP-S 2022-2026 - secondo atto integrativo (agg. 2024),4b fonti per cassa,5o,fonti residuo contratti precedenti,Fondo per la prosecuzione delle opere pubbliche ex DL 76/2020 art. 7 co. 1 (MIT Cap 7007),,0.0,0.0,,0.02,,,0.02,,0.02,18
CdP-S 2022-2026 - secondo atto integrativo (agg. 2024),4b fonti per cassa,5,fonti residuo contratti precedenti,Totale Fonti c/Impianti,,6338.18,68.75,50.0,105.04,50.0,50.0,323.79,722.03,7384.0,18
CdP-S 2022-2026 - quarto atto integrativo (agg. 2026),4b fonti per cassa,1a,conto esercizio,Legge 234/2021 - Legge di Bilancio 2022 e Leggi di Bilancio seguenti,1541,,1155.56,1055.56,965.56,965.56,965.56,5107.78,,5107.78,15
CdP-S 2022-2026 - quarto atto integrativo (agg. 2026),4b fonti per cassa,1b,conto esercizio,Legge 129/2023 - Legge di Assestamento di Bilancio 2023,1541,,,50.0,,,,50.0,,50.0,15
CdP-S 2022-2026 - quarto atto integrativo (agg. 2026),4b fonti per cassa,1c,conto esercizio,Legge 178/2020 - Legge di Bilancio 2021 e Leggi di Bilancio seguenti (risorse per servizio mezzi veloci ME-Villa S.G e ME-RC),7255,,7.1,4.26,,,,11.37,,11.37,15
CdP-S 2022-2026 - quarto atto integrativo (agg. 2026),4b fonti per cassa,1d,conto esercizio,Legge 39/2024 - DL Superbonus,1541,,,,,,100.0,100.0,,100.0,15
CdP-S 2022-2026 - quarto atto integrativo (agg. 2026),4b fonti per cassa,1e,conto esercizio,Legge 207/2024 - Legge di Bilancio 2025,1541,,,,,290.0,185.0,475.0,,475.0,15
CdP-S 2022-2026 - quarto atto integrativo (agg. 2026),4b fonti per cassa,1,conto esercizio,Totale Fonti c/Esercizio,,,1162.66,1109.82,965.56,1255.56,1250.56,5744.15,,5744.15,15
CdP-S 2022-2026 - quarto atto integrativo (agg. 2026),4b fonti per cassa,2a,conto impianti,Legge 234/2021 - Legge di Bilancio 2022 (Cap 7122/PG5),7122,,500.0,1000.0,1100.0,900.0,1000.0,4500.0,600.0,5100.0,15
CdP-S 2022-2026 - quarto atto integrativo (agg. 2026),4b fonti per cassa,2b,conto impianti,Legge 197/2022 - Legge di Bilancio 2023 (Cap 7122/PG5),7122,,,0.0,200.0,200.0,200.0,600.0,2200.0,2800.0,15
CdP-S 2022-2026 - quarto atto integrativo (agg. 2026),4b fonti per cassa,2c,conto impianti,Legge 145/2023 - Decreto Fiscale (Cap 7122/PG5),7122,,,1000.0,-1000.0,,,0.0,,0.0,15
CdP-S 2022-2026 - quarto atto integrativo (agg. 2026),4b fonti per cassa,2d,conto impianti,Legge 303/2023 - Legge di Bilancio 2024 (Cap 7122/PG5),7122,,,,1000.0,,-1000.0,0.0,,0.0,15
CdP-S 2022-2026 - quarto atto integrativo (agg. 2026),4b fonti per cassa,2e,conto impianti,Legge 189/2024 - Decreto Fiscale (Cap 7122/PG5),7122,,,,1050.0,-50.0,,1000.0,,1000.0,15
CdP-S 2022-2026 - quarto atto integrativo (agg. 2026),4b fonti per cassa,2f,conto impianti,Legge 207/2024 - Legge di Bilancio 2025 (Cap 7122/PG5),7122,,,,,-700.0,,-700.0,1334.0,634.0,15
CdP-S 2022-2026 - quarto atto integrativo (agg. 2026),4b fonti per cassa,2g,conto impianti,Legge 199/2025 - Legge di Bilancio 2026 (Cap 7122/PG5),7122,,,,,,90.0,90.0,3570.0,3660.0,15
CdP-S 2022-2026 - quarto atto integrativo (agg. 2026),4b fonti per cassa,2h,conto impianti,Piano nazionale ripresa e Resilienza (PNRR),,,30.06,,60.12,11.43,198.98,300.58,,300.58,15
CdP-S 2022-2026 - quarto atto integrativo (agg. 2026),4b fonti per cassa,2i,conto impianti,Piano Operativo Nazionali 2014-2020,,,,,3.16,0.5,0.49,4.15,,4.15,15
CdP-S 2022-2026 - quarto atto integrativo (agg. 2026),4b fonti per cassa,2l,conto impianti,Fondo per l'adeguamento dei prezzi ex DL 73/2021 art. 1-septies co. 8,7006,,,14.95,,4.61,,19.56,,19.56,15
CdP-S 2022-2026 - quarto atto integrativo (agg. 2026),4b fonti per cassa,2m,conto impianti,Fondo per la prosecuzione delle opere pubbliche ex DL 76/2020 art. 7 co. 1,7007,,,2.99,1.82,2.2,1.28,8.29,,8.29,15
CdP-S 2022-2026 - quarto atto integrativo (agg. 2026),4b fonti per cassa,2n,conto impianti,Legge 39/2024 - DL Superbonus,7122,,,,,,140.8,140.8,1932.8,2073.6,15
CdP-S 2022-2026 - quarto atto integrativo (agg. 2026),4b fonti per cassa,2o,conto impianti,Legge 111/2024 - DL Alluvioni,,,,,,,0.8,0.8,,0.8,15
CdP-S 2022-2026 - quarto atto integrativo (agg. 2026),4b fonti per cassa,2p,conto impianti,Decreto-Legge 156/2025 - Decreto Economia,,,,,,1800.0,,1800.0,,1800.0,15
CdP-S 2022-2026 - quarto atto integrativo (agg. 2026),4b fonti per cassa,2q,conto impianti,Disciplinare sottoscritto fra RFI e Regione Siciliana del 24/6/2025,,,,,,,30.0,30.0,80.0,110.0,15
CdP-S 2022-2026 - quarto atto integrativo (agg. 2026),4b fonti per cassa,2r,conto impianti,Convenzione tra RFI e la Provincia Autonoma di Bolzano del 02/09/2025,,,,,,,3.6,3.6,,3.6,15
CdP-S 2022-2026 - quarto atto integrativo (agg. 2026),4b fonti per cassa,2,conto impianti,Totale Fonti c/Impianti (*),,,530.06,2017.93,2415.1,2168.73,665.95,7797.77,9716.8,17514.57,15
CdP-S 2022-2026 - quarto atto integrativo (agg. 2026),4b fonti per cassa,3,totale fonti,Totale fonti,,,1692.72,3127.75,3380.66,3424.29,1916.5,13541.92,9716.8,23258.72,15
CdP-S 2022-2026 - quarto atto integrativo (agg. 2026),4b fonti per cassa,4,spesa residuo contratti precedenti,Manutenzione Straordinaria (Residuo CdP-S 2016-2021 e CdP 2012-2014),,7024.51,180.09,69.84,28.12,12.0,26.76,316.81,42.73,7384.06,16
CdP-S 2022-2026 - quarto atto integrativo (agg. 2026),4b fonti per cassa,5a,fonti residuo contratti precedenti,Delibera CIPE n. 33 del 23.03.2012 (valore iniziale 300 mln€),7514,271.44,,,,,,0.0,,271.44,16
CdP-S 2022-2026 - quarto atto integrativo (agg. 2026),4b fonti per cassa,5b,fonti residuo contratti precedenti,"Art. 1, c. 175, della l. n. 228/2012 (Legge di Stabilità 2013)",7122,300.0,,,,,,0.0,,300.0,16
CdP-S 2022-2026 - quarto atto integrativo (agg. 2026),4b fonti per cassa,5c,fonti residuo contratti precedenti,"Delibera CIPE 22 del 18.03.2013 - risorse a valere su art. 1, c. 176, della Legge n. 228/2012 (legge di stabilità 2013)",7122,338.0,,,,,,0.0,,338.0,16
CdP-S 2022-2026 - quarto atto integrativo (agg. 2026),4b fonti per cassa,5d,fonti residuo contratti precedenti,"Delibera CIPE 22 del 18.03.2013 - risorse a valere su art. 32, c. 1, del D.L. 98/2011",7518,240.0,,,,,,0.0,,240.0,16
CdP-S 2022-2026 - quarto atto integrativo (agg. 2026),4b fonti per cassa,5e,fonti residuo contratti precedenti,"Bilancio di previsione dello Stato (ridestinate da Legge n. 71 24.06.2013, art. 7-ter)",1541,262.89,,,,,,0.0,,262.89,16
CdP-S 2022-2026 - quarto atto integrativo (agg. 2026),4b fonti per cassa,5f,fonti residuo contratti precedenti,"Art 1, c‐ 73 della Legge 147 del 27.12.2013 (Legge Stabilità 2014)",7122,500.0,,,,,,0.0,,500.0,16
CdP-S 2022-2026 - quarto atto integrativo (agg. 2026),4b fonti per cassa,5g,fonti residuo contratti precedenti,"Legge 147 del 27.12.2013 - Legge Stabilità 2014 (Tab E, cap 7122 Pg2) - Resi operativi da Decreto-Legge 133/14 ""Sblocca Italia"" convertito in Legge 164 del 11.11.2014",7122,220.0,,,,,,0.0,,220.0,16
CdP-S 2022-2026 - quarto atto integrativo (agg. 2026),4b fonti per cassa,5h,fonti residuo contratti precedenti,Legge 190/14 del 23.12.2014 (Legge di Stabilità 2015) - PG5,7122,4198.35,15.65,,,20.4,8.57,44.62,7.03,4250.0,16
CdP-S 2022-2026 - quarto atto integrativo (agg. 2026),4b fonti per cassa,5i,fonti residuo contratti precedenti,Legge 208/2015 - Legge di Stabilità 2016 - PG2,7122,0.0,,,,,,0.0,222.03,222.03,16
CdP-S 2022-2026 - quarto atto integrativo (agg. 2026),4b fonti per cassa,5l,fonti residuo contratti precedenti,Piano Operativo Nazionale 2007-2013 (PON 07-13),,7.5,,,,19.03,,19.03,,26.53,16
CdP-S 2022-2026 - quarto atto integrativo (agg. 2026),4b fonti per cassa,5m,fonti residuo contratti precedenti,Legge 178/2020 - Legge di Bilancio 2021 -PG5,7122,0.0,52.0,50.0,50.0,50.0,50.0,252.0,500.0,752.0,16
CdP-S 2022-2026 - quarto atto integrativo (agg. 2026),4b fonti per cassa,5n,fonti residuo contratti precedenti,Fondo per l'adeguamento dei prezzi ex DL 73/2021 art. 1-septies co. 8,7006,0.0,,1.1,,,0.03,1.13,,1.13,16
CdP-S 2022-2026 - quarto atto integrativo (agg. 2026),4b fonti per cassa,5o,fonti residuo contratti precedenti,Fondo per la prosecuzione delle opere pubbliche ex DL 76/2020 art. 7 co. 1,7007,0.0,,,,0.07,0.19,0.26,,0.26,16
CdP-S 2022-2026 - quarto atto integrativo (agg. 2026),4b fonti per cassa,5,fonti residuo contratti precedenti,Totale Fonti c/Impianti,,6338.18,67.65,51.1,50.0,89.49,58.79,317.04,729.06,7384.28,16
CdP-S 2022-2026 (contratto base),4a impieghi per competenza,1,conto esercizio,"Attività di Gestione della Rete (Manutenzione Ordinaria, Circolazione, Safety, Security, (*) Navigazione, PRM e Sgombero dell’infrastruttura) (c/esercizio)",,,1161.24,1155.56,1155.56,1155.56,1155.56,5783.46,,,34
CdP-S 2022-2026 (contratto base),4a impieghi per competenza,2,conto impianti,Manutenzione Straordinaria (c/impianti),,,2200.0,2200.0,2200.0,2200.0,2200.0,11000.0,,,34
CdP-S 2022-2026 (contratto base),4a impieghi per competenza,3,totale fonti,Totale proiezioni degli impieghi per competenza,,,3361.24,3355.56,3355.56,3355.56,3355.56,16783.46,,,34
