cup,tabella,codice_intervento,descrizione,programma,importo_mln,documento,pagina
J11H03000180001,A/B,0275A,Nuovo collegamento Palermo-Catania 1^ macrofase 1^ macrofase Palermo - Catania: Lotto 1+2 Fiumetorto- Montemaggiore-Lercara 1^ macrofase Palermo - Cat,Direttrici di interesse nazionale,8513.99,agg2025,60
J11H03000180001,A/B,0275B,Nuovo collegamento Palermo-Catania 2^ macrofase 2^ macrofase Palermo - Catania: Tratti di raddoppio e varianti alla PROG PROG linea storica tratta Ler,Direttrici di interesse nazionale,566.87,agg2025,77
J11H04000110001,C,,Valutazione di sicurezza e certificazione di conformità,,6.65,agg2021,128
J11H92000000008,A/B,0036,"Nodo di Palermo Passante ferroviario Palermo c.le/Notarbartolo-Carini, Apparato tecnologico Palermo c.le e Completamento raddoppio Carini- Punta-Raisi",Città metropolitane,1307.26,agg2025,54
J11H92000010001,C,,Sistemazione Tecnologica Milano-Genova,,0.11,cdp2017,179
J11H92000020008,A/B,0115,Raddoppio Messina - Siracusa 1^ fase Raddoppio Catania Ognina - Catania Centrale e interventi di completamento raddoppio Fiumefreddo-Giarre e Targia -,Città metropolitane,126.66,agg2025,54
J11H92000030008,C,,Raddoppio Palermo-Messina tratta Messina-Patti,,3.96,agg2021,128
J11H96000000001,C,,Potenziamento tecnologico Nodo di Torino,,-0.05,agg2021,128
J11H96000020001,C,,Passante P.ta Susa-Lingotto e collegamento Porta Susa - bivio Porta Nuova,,-0.01,cdp2022,139
J11H98000000001,C,,Rilevamento Termico Boccole,,0.47,cdp2017,179
J11H99000000001,A/B,0810,"Velocizzazione Foligno-Perugia-Terontola PRG Perugia S. Giovanni 1^ fase, Velocizzazione Perugia Pontivegge, nuova fermata Perugia Capitini e migliora",Valorizzazione reti regionali,35.99,agg2025,50
J11J03000010001,C,,"Tecnologie per la sicurezza, la circolazione e l'efficientamento",,-0.0,agg2025,141
J11J04000010001,C,,"Tecnologie per la sicurezza, la circolazione e l'efficientamento",,-0.0,agg2025,141
J11J04000020001,C,,Sicurezza nelle gallerie ferroviarie,,2.11,cdp2017,176
J11J04000030001,C,,Sperimentazione diagnostica in Scc - ante 2011,,0.16,agg2021,128
J11J04000040008,C,,Nuovo collegamento To P.ta Susa-To P.ta Nuova,,3.25,cdp2017,181
J11J04000050001,C,,"Sviluppo, implementazione e mantenimento in efficienza sistemi CCL-IaP",,7.33,cdp2017,179
J11J04000070001,C,,Sist Contr Circ Linee e Inf.Pub fase 1,,1.79,cdp2017,179
J11J04000070011,C,,"Tecnologie per la sicurezza, la circolazione e l'efficientamento",,-0.0,agg2025,141
J11J04000070031,C,,Upgrading rete viaggiatori - DTP Milano,,1.77,cdp2017,179
J11J04000070041,A/B,P067,Velocizzazione linee Milano-Venezia e Venezia- Trieste,Direttrici di interesse nazionale,0.0,cdp2022,61
J11J04000070061,C,,Interventi upgrading rete viaggiatori,,1.0,cdp2017,179
J11J04000070071,C,,Sviluppo infrastrutturale e upgrading,,-0.0,agg2025,138
J11J04000070081,C,,Upgrading rete viaggiatori DTP Roma,,2.51,cdp2017,179
J11J04000070091,C,,Riqual.staz-Adeg.marc.staz.area romana,,7.4,cdp2017,179
J11J04000070101,C,,Interventi upgrading rete viaggiatori,,3.69,cdp2017,179
J11J04000070111,C,,Interventi upgrading rete viaggiatori,,0.78,cdp2017,179
J11J04000070121,C,,Interventi upgrading rete viaggiatori,,3.14,cdp2017,179
J11J04000070131,C,,Interventi upgrading rete viaggiatori,,0.62,cdp2017,179
J11J04000070141,C,,Upgrading rete viaggiatori DTP Ancona,,1.6,cdp2017,180
J11J04000070151,C,,Interventi upgrading rete viaggiatori,,1.3,cdp2017,180
J11J04000070161,C,,Sviluppo infrastrutturale e upgrading,,-0.0,agg2025,138
J11J04000070171,C,,Interventi upgrading rete viaggiatori TO,,0.84,cdp2017,180
J11J04000070181,C,,Upgrading rete viaggiatori - DTP Verona,,1.06,cdp2017,180
J11J04000070191,C,,"Tecnologie per la sicurezza, la circolazione e l'efficientamento",,-0.0,agg2025,141
J11J04000070201,C,,Sist.Contr.Circ.linee e info al pubblico,,3.56,cdp2017,179
J11J05000020001,C,,Rilevatore squilibrio carichi,,0.2,cdp2017,179
J11J20000100008,A/B,I135,Linea AV/AC Verona-Padova 3° lotto funzionale: Tratta Vicenza-Padova,Direttrici di interesse nazionale,,agg2025,126
J12D06000000001,C,,Studio di fattibilità potenziamento linea Foligno-Perugia-Terontola,,-0.02,agg2021,129
J12F17000050001,A/B,A5000_4,"Adeguamenti tecnologici, opere di completamento e contingencies rete AV Torino-Milano-Napoli",Direttrici di interesse nazionale,0.0,cdp2022,62
J14B13000240001,C,,PRG Venezia SL e nuovo blocco con distanziamento a 4' Venezia Mestre - Venezia SL,,40.0,cdp2022,138
J14D20000010001,A/B,0362A,Linea AV/AC Verona-Padova 1° lotto funzionale: Tratta Verona-bivio Vicenza,Direttrici di interesse nazionale,,agg2025,126
J14E21003970001,A/B,0366A,"Potenziamento linea Ponte S.Pietro-Bergamo-Montello Raddoppio Bergamo-Curno, ACC Bergamo, PRG e ACC Ponte S.Pietro Raddoppio Bergamo-Montello ITER PRG",Valorizzazione reti regionali,795.91,agg2025,65
J14E22000020001,A/B,P246,Potenziamento Venafro - Campobasso - Matrice Potenziamento Venafro - Campobasso - Matrice 1^ fase Potenziamento Venafro - Campobasso - Matrice 2^ fase,Valorizzazione reti regionali,393.62,agg2025,52
J14F05000030001,A/B,0314,Velocizzazione Palermo-Trapani via Milo e via Castelvetrano,Valorizzazione reti regionali,0.0,cdp2022,78
J14F05000040001,A/B,0315,Velocizzazione Siracusa-Ragusa-Gela Velocizzazione Siracusa-Ragusa-Gela PROG PROG,Valorizzazione reti regionali,200.0,agg2025,74
J14F05000050001,C,,Upgrading rete merci - DOIT Firenze nuovo scalo merci Porcari,,34.3,agg2024,113
J14F18000000001,A/B,P141,Elettrificazione e velocizzazione Roccaravindola-Isernia- Campobasso,Valorizzazione reti regionali,0.0,agg2024,43
J14F18000000001,A/B,P246,Potenziamento Venafro - Campobasso - Matrice Potenziamento Venafro - Campobasso - Matrice 1^ fase Potenziamento Venafro - Campobasso - Matrice 2^ fase,Valorizzazione reti regionali,393.62,agg2025,52
J14F18000010009,A/B,P125,Elettrificazione linee Veneto,Valorizzazione reti regionali,200.0,agg2025,51
J14H12000030001,C,,Manutenzione Straordinaria cicli fino al 2011,,-0.0,agg2025,130
J14H15000600002,A/B,1888,Metropolitana Leggera Matrice-Bojano Metropolitana Leggera Matrice-Bojano,Valorizzazione reti regionali,23.15,cdp2022,50
J14H15000750001,C,,"Tecnologie per la sicurezza, la circolazione e l'efficientamento",,1.2,agg2025,141
J14H16000530009,A/B,I131,Ripristino linea dei bivi di Venezia Mestre Ripristino linea dei bivi di Venezia Mestre PROG PROG,Direttrici di interesse nazionale,180.0,agg2025,79
J14H17000180001,A/B,P125,Elettrificazione linee Veneto,Valorizzazione reti regionali,200.0,agg2025,51
J14H20000440001,A/B,0361,Linea AV/AC Milano - Verona: tratta Brescia - Verona,Direttrici di interesse nazionale,,agg2025,126
J14H20000970001,A/B,P128,Elettrificazione linea Trento-Bassano 1^ fase Elettrificazione Trento-Borgo Valsugana,Valorizzazione reti regionali,60.0,agg2025,52
J14H20001440009,A/B,P255,Accessibilità alla nuova stazione AV di Belfiore People mover Firenze Belfiore - Santa Maria Novella PROG PROG Fermata Circondaria ITER,Città metropolitane,135.0,agg2025,75
J14J22000350001,A/B,I183,Raddoppio Maerne-Castelfranco Veneto Raddoppio Maerne-Castelfranco Veneto PROG PROG,Valorizzazione reti regionali,831.87,agg2025,66
J16J16001210001,A/B,A5000_4,"Adeguamenti tecnologici, opere di completamento e contingencies rete AV Torino-Milano-Napoli",Direttrici di interesse nazionale,0.0,cdp2022,62
J17B14000110005,C,,Liberazione Immobili - DOIT VE - 2014,,4.1,agg2024,113
J17B14000210001,C,,"Tecnologie per la sicurezza, la circolazione e l'efficientamento",,5.54,agg2025,141
J17B16000060001,C,,Sicurezza ed Obblighi di Legge,,10.2,agg2025,135
J17B16000070001,C,,"Tecnologie per la sicurezza, la circolazione e l'efficientamento",,2.92,agg2025,141
J17B16000160001,C,,Liberazione Immobili - DOIT VE - 2016,,2.28,agg2024,113
J17B17000070001,C,,Sicurezza ed Obblighi di Legge,,45.5,agg2025,135
J17D18000000001,C,,Sicurezza ed Obblighi di Legge,,10.0,agg2025,135
J17E00000000001,C,,Fabbricati di stazione POT - PA,,0.08,cdp2017,176
J17E00000000011,C,,Fabbricati di Stazione-Pot-Napoli,,0.93,cdp2017,176
J17E00000000021,C,,Manutenzione Straordinaria cicli fino al 2011,,-0.01,agg2025,130
J17E00000000031,C,,Manutenzione Straordinaria cicli fino al 2011,,-0.0,agg2025,130
J17E00000000041,C,,Fabbricati di stazione - pot - Reggio C.,,1.53,cdp2017,176
J17E00000000051,C,,Fabbricati di stazione POT - TO,,0.16,cdp2017,176
J17E00000000061,C,,Manutenzione Straordinaria cicli fino al 2011,,-0.0,agg2025,130
J17E00000000081,C,,Manutenzione Straordinaria cicli fino al 2011,,-0.0,agg2025,130
J17E00000000091,C,,Potenziamento fabbricati di staz.-BA,,1.2,cdp2017,176
J17E00000000101,C,,Potenziamento fabbricati di staz.-AN,,0.01,cdp2017,176
J17E00000000131,C,,Manutenzione Straordinaria cicli fino al 2011,,0.0,agg2025,130
J17E00000000141,C,,Fabbricati di stazione POT - RM,,0.55,cdp2017,176
J17E00000000151,C,,Fabbricati di stazione POT,,9.86,cdp2017,176
J17E00000000171,C,,Fabbricati di stazione POT -BO,,0.16,cdp2017,176
J17E00000000261,C,,Manutenzione Straordinaria cicli fino al 2011,,-0.0,agg2025,130
J17E00000010001,C,,Fabbricati di stazione M.E.-AN,,2.28,cdp2017,176
J17E00000010011,C,,Manutenzione Straord. stazioni (BA),,4.61,cdp2017,176
J17E00000010021,C,,Fabbricati di stazione M.E. NA,,5.09,cdp2017,176
J17E00000010031,C,,Manutenzione straordinaria stazioni,,15.14,cdp2017,176
J17E00000010041,C,,Fabbricati di stazione M.E. - RC,,3.67,cdp2017,176
J17E00000010051,C,,Manutenzione Straordinaria Stazioni (MI),,6.92,cdp2017,176
J17E00000010061,C,,Fabbricati di stazione M.E.-Torino,,8.18,cdp2017,176
J17E00000010071,C,,Fabbricati di stazione M.E. VR,,1.53,cdp2017,176
J17E00000010091,C,,Manutenzione straordinaria stazioni,,3.77,cdp2017,176
J17E00000010101,C,,Manutenzione Straordinaria Stazioni - BO,,4.33,cdp2017,176
J17E00000010111,C,,Manutenzione straordinaria stazioni - VE,,1.94,cdp2017,176
J17E00000010121,C,,Manutenzione Straordinaria cicli fino al 2011,,-0.0,agg2025,130
J17E00000010131,C,,Manutenzione Straordinaria Stazioni PA,,3.03,cdp2017,176
J17E00000010151,C,,Fabbricati di stazione M.E.,,8.99,cdp2017,176
J17E00000010161,C,,Fabbricati di stazione M.E. - FI,,6.65,cdp2017,176
J17E00000010171,C,,Manutenzione straordinaria stazioni,,1.38,cdp2017,176
J17E01000040001,C,,FA-Fabbricati civili e industr.-man.ord.,,1.32,cdp2017,176
J17E91000000001,C,,Miglioramenti infrastrutturali M.E.FI,,3.92,cdp2017,176
J17E91000000011,C,,Miglioramento infrastrutturale M.E.BA,,45.54,cdp2017,176
J17E91000000021,C,,Miglioramenti infrastrutturali M.E.-VE,,3.61,cdp2017,176
J17E91000000031,C,,Miglioramenti infrastrutturali M.E.NA,,9.26,cdp2017,176
J17E91000000041,C,,Manutenzione Straordinaria cicli fino al 2011,,-0.08,agg2025,130
