documento,pagina,riga,cup,npp,descrizione,costo_mln,data_messa_in_esercizio
cdp2017,176,A00,J17E92000000001,0639,Miglioramenti infrastrutturali M.E.- PA,1.13,31/12/2016
cdp2017,176,A00,J17E99000010001,0505,Manut.Straord.Opere Dif.Infr.M.E.AN,28.41,31/12/2016
cdp2017,176,A00,J17E99000010011,0512,Manut.Straord.Opere Dif.Infr. NA,75.58,31/12/2016
cdp2017,176,A00,J17E99000010027,0513,Manut.Straord.Opere Dif.Infr. PA,73.14,31/12/2016
cdp2017,176,A00,J17E99000010032,0514,Manut.Straord.Opere Dif.Infr.M.E.RC,105.86,31/12/2016
cdp2017,176,A00,J17E99000010041,0515,Manut.Straord.Opere Dif.Infr.M.E.RM,77.23,31/12/2016
cdp2017,176,A00,J17E99000010057,0508,Manut.Straord.Opere Dif.Infr.CA,11.98,31/12/2016
cdp2017,176,A00,J17E99000010061,0521,Manut.Straord.Opere Dif.Infr.VE,40.68,31/12/2016
cdp2017,176,A00,J17E99000010071,0506,Manut.Straord.Opere Dif.Infr.BA,52.86,31/12/2016
cdp2017,177,A00,J17E99000010081,0509,Manut.Straord.Opere Dif.Infr.M.E.FI,71.15,31/12/2016
cdp2017,177,A00,J17E99000010091,0665,Manutenzione straordinaria e Opere a difesa dell'infrastruttura Reggio Calabria,0.16,31/12/2016
cdp2017,177,A00,J17E99000010101,0510,Manut.Straord.Opere Dif.Infr.M.E.GE,35.33,31/12/2016
cdp2017,177,A00,J17E99000010111,0522,Manut.Straord.Opere Dif.Infr.VR,44.3,31/12/2016
cdp2017,177,A00,J17E99000010121,0511,Manut.Straord.Opere Dif.Infr.M.E.MI,99.12,31/12/2016
cdp2017,177,A00,J17E99000010131,0662,Manutenzione straordinaria e Opere a difesa dell'infrastruttura - Mantenimento in efficienza - Napoli,0.01,31/12/2016
cdp2017,177,A00,J17E99000010151,0519,Manut.Straord.Opere Dif.Infr.M.E.TO,34.76,31/12/2016
cdp2017,177,A00,J17E99000010181,0520,Manut.Straord.Opere Dif.Infr.TS,30.84,31/12/2016
cdp2017,177,A00,J17E99000010191,0507,Manut.Straord.Opere Dif.Infr.M.E.BO,50.55,31/12/2016
cdp2017,177,A00,J17E99000010221,0517,Man.Str.Op.Dif.Infr.SettoreArm.eOp.Civ.,5.29,31/12/2016
cdp2017,177,A00,J17E99000010231,0537,M.Str.e Opere Dif.Infr. Sett. Tecnologie,0.14,31/12/2016
cdp2017,177,A00,J17E99000020007,0531,Obblighi di legge - PA,2.12,31/12/2016
cdp2017,177,A00,J17E99000020017,0532,Obblighi di legge - RC,4.9,31/12/2016
cdp2017,177,A00,J17E99000020021,0533,Obblighi legge - RM,4.14,31/12/2016
cdp2017,177,A00,J17E99000020031,0526,Obblighi di legge -CA,0.61,31/12/2016
cdp2017,177,A00,J17E99000020041,0540,Obblighi di legge VE,1.61,31/12/2016
cdp2017,177,A00,J17E99000020051,0530,Obblighi di legge - NA,3.53,31/12/2016
cdp2017,177,A00,J17E99000020061,0523,Obbighi di legge - AN,1.48,31/12/2016
cdp2017,177,A00,J17E99000020071,0525,Obblighi di legge - BO,1.15,31/12/2016
cdp2017,177,A00,J17E99000020081,0527,Obblighi di legge -FI,3.33,31/12/2016
cdp2017,177,A00,J17E99000020091,0541,Obblighi di legge -VR,2.29,31/12/2016
cdp2017,177,A00,J17E99000020131,0529,Obblighi di legge - MI,4.15,31/12/2016
cdp2017,177,A00,J17E99000020191,0528,Obblighi di legge - GE,0.7,31/12/2016
cdp2017,177,A00,J17E99000020221,0538,Obblighi di legge - TO,2.34,31/12/2016
cdp2017,177,A00,J17E99000020301,0534,"Obblighi di legge Settore ""Logistica""",0.23,31/12/2016
cdp2017,177,A00,J17E99000020331,0524,Obbighi di legge - BA,2.43,31/12/2016
cdp2017,177,A00,J17E99000020341,0539,Obblighi di legge - TS,1.31,31/12/2016
cdp2017,177,A00,J17E99000020371,1300,Obblighi di legge (Tecnica),0.35,31/12/2016
cdp2017,177,A00,J17E99000020381,1301,M.S. E OBBLIGHI DI LEGGE,0.38,31/12/2016
cdp2017,177,A00,J27I06000070001,1495,Migl. infrastr. linee AV/AC Napoli,2.35,31/12/2016
cdp2017,177,A00,J31B00000250001,0803,Obblighi di Legge (navi),0.49,31/12/2016
cdp2017,177,A00,J31B00000260001,0804,Manutenzione infrastrutture portuali,0.29,31/12/2016
cdp2017,177,A00,J31B01000330001,0761,Manutenzione straord. navi traghetto,7.68,31/12/2016
cdp2017,177,A00,J31H00000100001,0726,Acquisti-Manutenzioni Attrezz. ufficio,0.38,31/12/2016
cdp2017,177,A00,J31H00000100011,1287,Acq.rimp mat inv per ob.legge.prod.manut,15.92,31/12/2016
cdp2017,177,A00,J31H00000100021,0916,"Acq. mat.inv. O.L. prod.sett.""Off.""-DG",0.5,31/12/2016
cdp2017,177,A00,J31H00000120001,1141,Acq.Rimp.mat.inv.O.L.prod.sett.diagn.-DG,8.59,31/12/2016
cdp2017,177,A00,J31H00000120011,1289,Acquisti a rimpiazzo Piano Sicurezza,0.81,31/12/2016
cdp2017,177,A00,J31H00000120021,1154,Acquisti a rimpiazzo Direzione Tecnica,0.61,31/12/2016
cdp2017,177,A00,J31H01000140001,0497,Acquisti-Manutenzioni Ist. Sp. (I),1.04,31/12/2016
cdp2017,177,A00,J31H01000140011,0730,Acq.a rimp.mat.inv.obl.di leg.prod.-VR,0.06,31/12/2016
cdp2017,177,A00,J31H01000140031,0498,Acquisto materiale d'eser. Dir.Sanità,0.32,31/12/2016
cdp2017,177,A00,J31H01000170011,0865,Manutenzione Strordinaria settore TE lotto C - Napoli,0.1,31/12/2016
cdp2017,177,A00,J31H01000170021,0867,Manutenzione Straordinaria settore TE Lotto B - Firenze,0.64,31/12/2016
cdp2017,177,A00,J31H93000010011,0691,Soppressione P.L. - Bari,2.46,31/12/2016
cdp2017,177,A00,J31H93000010051,0693,Soppressione P.L. - Cagliari,4.3,31/12/2016
cdp2017,177,A00,J31H93000010081,0689,Soppressione P.L. - Alto Adige,0.17,31/12/2016
cdp2017,177,A00,J31H93000010111,0697,Soppressione P.L. - Palermo,0.26,31/12/2016
cdp2017,177,A00,J37I08000030001,1579,Man. Straord. Opere a difesa dell'infr l,0.4,31/12/2016
cdp2017,177,A00,J37I08000050001,1583,Miglior. Infr. linee AV/AC - MI,0.1,31/12/2016
cdp2017,177,A00,J37I10001070001,1594,Man.Straord.e Opere di Difesa dell'Infra,0.39,31/12/2016
cdp2017,177,A00,J41H00000240001,0862,Manutenzione Straordinaria settore Armamento lotto B - Torino,0.16,31/12/2016
cdp2017,177,A00,J41H00000240011,0866,Manutenzione Straordinaria settore Armamento lotto A - Firenze,0.15,31/12/2016
cdp2017,177,A00,J41H00000240021,0863,Manutenzione straordinaria - Armamento lotto C - Ancona,0.07,31/12/2016
cdp2017,177,A00,J47I08000030001,1577,Man. Straord. Opere a difesa dell'infr,6.72,31/12/2016
cdp2017,177,A00,J51H00000050001,0713,Acq.a rimp.mat.inv.obl.di leg.prod.-AN,0.58,31/12/2016
cdp2017,177,A00,J51H00000050011,0720,Acq.a rimp.mat.inv.obl.di leg.prod.-NA,0.72,31/12/2016
cdp2017,177,A00,J51H00000050021,0727,Acq.a rimp.mat.inv.obl.di leg.prod.-TO,0.7,31/12/2016
cdp2017,177,A00,J51H00000050031,0728,Acq.a rimp.mat.inv.obl.di leg.prod.-TS,0.53,31/12/2016
cdp2017,177,A00,J51H00000050041,0729,Acq.a rimp.mat.inv.obl.di leg.prod.-VE,0.35,31/12/2016
cdp2017,177,A00,J51H00000050111,0932,"Acq.mat.inv. O.L. prod.sett.""Mag""-DG",0.15,31/12/2016
