codice_intervento,descrizione,registro,codice_linea,linea,confidenza,prova,capi_nominati,comuni_citati_attraversati,confermato,natura_del_dato
0013A,Nuova linea a monte del Vesuvio Nuova linea a monte del Vesuvio (tratta bivio Casoria - bivio Sarno),"registro RFI (CdP Servizi, Allegato 3)",C142,Sarno - Codola,media,nome-parziale,sarno,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0013A,Nuova linea a monte del Vesuvio Nuova linea a monte del Vesuvio (tratta bivio Casoria - bivio Sarno),"registro RFI (CdP Servizi, Allegato 3)",C143,Cancello - Sarno,media,nome-parziale,sarno,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0013A,Nuova linea a monte del Vesuvio Nuova linea a monte del Vesuvio (tratta bivio Casoria - bivio Sarno),"registro RFI (CdP Servizi, Allegato 3)",C144,Sarno - Biv. S.Lucia 123,media,nome-parziale,sarno,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0013A,Nuova linea a monte del Vesuvio Nuova linea a monte del Vesuvio (tratta bivio Casoria - bivio Sarno),"registro RFI (CdP Servizi, Allegato 3)",F073,[NAPOLI] PORTICI - SALERNO,media,nome-parziale,,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0013A,Nuova linea a monte del Vesuvio Nuova linea a monte del Vesuvio (tratta bivio Casoria - bivio Sarno),"registro RFI (CdP Servizi, Allegato 3)",N008,Napoli,media,nome-parziale,,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0013A,Nuova linea a monte del Vesuvio Nuova linea a monte del Vesuvio (tratta bivio Casoria - bivio Sarno),"registro RFI (CdP Servizi, Allegato 3)",C177,Caltanissetta Xirbi - Roccapalumba-A.,media,nome-parziale,a,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0013B,Fermata Vesuvio Est Linea a monte del Vesuvio Fermata Vesuvio Est PROG PROG,"registro RFI (CdP Servizi, Allegato 3)",C177,Caltanissetta Xirbi - Roccapalumba-A.,media,nome-parziale,a,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0013B,Fermata Vesuvio Est Linea a monte del Vesuvio Fermata Vesuvio Est PROG PROG,"registro RFI (CdP Servizi, Allegato 3)",C180,Roccapalumba-A. - Fiumetorto,media,nome-parziale,a,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0013B,Fermata Vesuvio Est Linea a monte del Vesuvio Fermata Vesuvio Est PROG PROG,"registro RFI (CdP Servizi, Allegato 3)",C182,Roccapalumba-A. - Aragona Caldare,media,nome-parziale,a,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0036,"Nodo di Palermo Passante ferroviario Palermo c.le/Notarbartolo-Carini, Apparato tecnologico Palermo c.le e Completamento raddoppio Carini- Punta-Raisi e adeguamento tecnologico Palermo c.le-Fiumetorto","registro RFI (CdP Servizi, Allegato 3)",C181,Palermo - Carini,alta,nome,palermo|carini,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0036,"Nodo di Palermo Passante ferroviario Palermo c.le/Notarbartolo-Carini, Apparato tecnologico Palermo c.le e Completamento raddoppio Carini- Punta-Raisi e adeguamento tecnologico Palermo c.le-Fiumetorto","registro RFI (CdP Servizi, Allegato 3)",C176,Fiumetorto - Palermo,alta,nome,fiumetorto|palermo,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0036,"Nodo di Palermo Passante ferroviario Palermo c.le/Notarbartolo-Carini, Apparato tecnologico Palermo c.le e Completamento raddoppio Carini- Punta-Raisi e adeguamento tecnologico Palermo c.le-Fiumetorto","registro RFI (CdP Servizi, Allegato 3)",C184,Palermo Centrale - Palermo Marittima,media,nome-parziale,palermo,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0036,"Nodo di Palermo Passante ferroviario Palermo c.le/Notarbartolo-Carini, Apparato tecnologico Palermo c.le e Completamento raddoppio Carini- Punta-Raisi e adeguamento tecnologico Palermo c.le-Fiumetorto","registro RFI (CdP Servizi, Allegato 3)",C204,Carini - Alcamo Diramazione - Trapani,media,nome-parziale,carini,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0036,"Nodo di Palermo Passante ferroviario Palermo c.le/Notarbartolo-Carini, Apparato tecnologico Palermo c.le e Completamento raddoppio Carini- Punta-Raisi e adeguamento tecnologico Palermo c.le-Fiumetorto","registro RFI (CdP Servizi, Allegato 3)",C175,Messina - Fiumetorto,media,nome-parziale,fiumetorto,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0036,"Nodo di Palermo Passante ferroviario Palermo c.le/Notarbartolo-Carini, Apparato tecnologico Palermo c.le e Completamento raddoppio Carini- Punta-Raisi e adeguamento tecnologico Palermo c.le-Fiumetorto","registro RFI (CdP Servizi, Allegato 3)",C180,Roccapalumba-A. - Fiumetorto,media,nome-parziale,fiumetorto,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0037,Realizzazione fermate ed adeguamento stazioni per servizio metropolitano di Bologna 1^ fase,"registro RFI (CdP Servizi, Allegato 3)",N005,Bologna,media,nome-parziale,bologna,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0037,Realizzazione fermate ed adeguamento stazioni per servizio metropolitano di Bologna 1^ fase,"registro RFI (CdP Servizi, Allegato 3)",F043,[BOLOGNA] BOLOGNA S.RUFFILLO - FIRENZE CASTELLO [FIRENZE],media,nome-parziale,,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0037,Realizzazione fermate ed adeguamento stazioni per servizio metropolitano di Bologna 1^ fase,"registro RFI (CdP Servizi, Allegato 3)",A005,Milano-Bologna AV/AC,bassa,nome-parziale,bologna,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0037,Realizzazione fermate ed adeguamento stazioni per servizio metropolitano di Bologna 1^ fase,"registro RFI (CdP Servizi, Allegato 3)",A007,Bologna - Firenze AV/AC,bassa,nome-parziale,bologna,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0049A,Raddoppio Milano-Mortara: 1^ fase Raddoppio Milano S.Cristoforo- Albairate Fermate Porta Romana e Tibaldi Riqualificazione Milano S. Cristoforo-P.ta Romana PROG PROG Raddoppio Albairate-Abbiategrasso PROG PROG,"registro RFI (CdP Servizi, Allegato 3)",C058,Milano P.Genova - Mortara,alta,nome-parziale,mortara,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0049A,Raddoppio Milano-Mortara: 1^ fase Raddoppio Milano S.Cristoforo- Albairate Fermate Porta Romana e Tibaldi Riqualificazione Milano S. Cristoforo-P.ta Romana PROG PROG Raddoppio Albairate-Abbiategrasso PROG PROG,"registro RFI (CdP Servizi, Allegato 3)",C020,Vercelli - Mortara,media,nome-parziale,mortara,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0049A,Raddoppio Milano-Mortara: 1^ fase Raddoppio Milano S.Cristoforo- Albairate Fermate Porta Romana e Tibaldi Riqualificazione Milano S. Cristoforo-P.ta Romana PROG PROG Raddoppio Albairate-Abbiategrasso PROG PROG,"registro RFI (CdP Servizi, Allegato 3)",C021,Mortara - Pavia,media,nome-parziale,mortara,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0049A,Raddoppio Milano-Mortara: 1^ fase Raddoppio Milano S.Cristoforo- Albairate Fermate Porta Romana e Tibaldi Riqualificazione Milano S. Cristoforo-P.ta Romana PROG PROG Raddoppio Albairate-Abbiategrasso PROG PROG,"registro RFI (CdP Servizi, Allegato 3)",C025,Novara - Mortara,media,nome-parziale,mortara,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0049A,Raddoppio Milano-Mortara: 1^ fase Raddoppio Milano S.Cristoforo- Albairate Fermate Porta Romana e Tibaldi Riqualificazione Milano S. Cristoforo-P.ta Romana PROG PROG Raddoppio Albairate-Abbiategrasso PROG PROG,"registro RFI (CdP Servizi, Allegato 3)",C218,Mortara - Casale Monferr. - Asti,media,nome-parziale,mortara,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0049A,Raddoppio Milano-Mortara: 1^ fase Raddoppio Milano S.Cristoforo- Albairate Fermate Porta Romana e Tibaldi Riqualificazione Milano S. Cristoforo-P.ta Romana PROG PROG Raddoppio Albairate-Abbiategrasso PROG PROG,"registro RFI (CdP Servizi, Allegato 3)",N002,Milano,media,nome-parziale,milano,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0049B,Raddoppio Milano-Mortara: 2^ fase Raddoppio Abbiategrasso-Vigevano-Parona PROG PROG Raddoppio Parona-Mortara,"registro RFI (CdP Servizi, Allegato 3)",C058,Milano P.Genova - Mortara,alta,nome-parziale,mortara,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0049B,Raddoppio Milano-Mortara: 2^ fase Raddoppio Abbiategrasso-Vigevano-Parona PROG PROG Raddoppio Parona-Mortara,"registro RFI (CdP Servizi, Allegato 3)",C020,Vercelli - Mortara,media,nome-parziale,mortara,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0049B,Raddoppio Milano-Mortara: 2^ fase Raddoppio Abbiategrasso-Vigevano-Parona PROG PROG Raddoppio Parona-Mortara,"registro RFI (CdP Servizi, Allegato 3)",C021,Mortara - Pavia,media,nome-parziale,mortara,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0049B,Raddoppio Milano-Mortara: 2^ fase Raddoppio Abbiategrasso-Vigevano-Parona PROG PROG Raddoppio Parona-Mortara,"registro RFI (CdP Servizi, Allegato 3)",C025,Novara - Mortara,media,nome-parziale,mortara,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0049B,Raddoppio Milano-Mortara: 2^ fase Raddoppio Abbiategrasso-Vigevano-Parona PROG PROG Raddoppio Parona-Mortara,"registro RFI (CdP Servizi, Allegato 3)",C218,Mortara - Casale Monferr. - Asti,media,nome-parziale,mortara,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0049B,Raddoppio Milano-Mortara: 2^ fase Raddoppio Abbiategrasso-Vigevano-Parona PROG PROG Raddoppio Parona-Mortara,"registro RFI (CdP Servizi, Allegato 3)",N002,Milano,media,nome-parziale,milano,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0052,"Passante di Torino tratta Porta Susa - Stura Quadruplicamento Torino Porta Susa-Stura e progettazione fermate Dora e Zappata, Stazione AV Torino Porta Susa e Nuova SSE Torino Bramante","registro RFI (CdP Servizi, Allegato 3)",N001,Torino,media,nome-parziale,torino,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0052,"Passante di Torino tratta Porta Susa - Stura Quadruplicamento Torino Porta Susa-Stura e progettazione fermate Dora e Zappata, Stazione AV Torino Porta Susa e Nuova SSE Torino Bramante","registro RFI (CdP Servizi, Allegato 3)",A003,Torino-Milano AV/AC,media,nome-parziale,torino,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0052,"Passante di Torino tratta Porta Susa - Stura Quadruplicamento Torino Porta Susa-Stura e progettazione fermate Dora e Zappata, Stazione AV Torino Porta Susa e Nuova SSE Torino Bramante","registro RFI (CdP Servizi, Allegato 3)",C246,Susa - Bussoleno,media,nome-parziale,susa,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0077,Raddoppio Genova-Ventimiglia 1^ fase Raddoppio Andora - S.Lorenzo e completamento raddoppio S.Lorenzo - Ospedaletti,"registro RFI (CdP Servizi, Allegato 3)",F009,VENTIMIGLIA - SAVONA,alta,nome-parziale,ventimiglia,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0077,Raddoppio Genova-Ventimiglia 1^ fase Raddoppio Andora - S.Lorenzo e completamento raddoppio S.Lorenzo - Ospedaletti,"registro RFI (CdP Servizi, Allegato 3)",C010,Cuneo - Ventimiglia,media,nome-parziale,ventimiglia,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0077,Raddoppio Genova-Ventimiglia 1^ fase Raddoppio Andora - S.Lorenzo e completamento raddoppio S.Lorenzo - Ospedaletti,"registro RFI (CdP Servizi, Allegato 3)",N004,Genova,media,nome-parziale,genova,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0077,Raddoppio Genova-Ventimiglia 1^ fase Raddoppio Andora - S.Lorenzo e completamento raddoppio S.Lorenzo - Ospedaletti,"registro RFI (CdP Servizi, Allegato 3)",C098,Ovada - Genova Borzoli,media,nome-parziale,,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0077,Raddoppio Genova-Ventimiglia 1^ fase Raddoppio Andora - S.Lorenzo e completamento raddoppio S.Lorenzo - Ospedaletti,"registro RFI (CdP Servizi, Allegato 3)",F007,SAVONA -  GENOVA VOLTRI [GENOVA],media,nome-parziale,,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0077,Raddoppio Genova-Ventimiglia 1^ fase Raddoppio Andora - S.Lorenzo e completamento raddoppio S.Lorenzo - Ospedaletti,"registro RFI (CdP Servizi, Allegato 3)",F019,ARQUATA - MIGNANEGO / GENOVA RIVAROLO / GENOVA CAMPASSO [GENOVA] (compresa via Isola del Cantone),media,nome-parziale,,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0083,Infrastrutturazione area stazione Tiburtina e nodo di interscambio Stazione AV stazione Tiburtina e infrastrutturazione area,"registro RFI (CdP Servizi, Allegato 3)",A001,Roma-Napoli AV/AC,media,nome-parziale,,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0083,Infrastrutturazione area stazione Tiburtina e nodo di interscambio Stazione AV stazione Tiburtina e infrastrutturazione area,"registro RFI (CdP Servizi, Allegato 3)",C129,Viterbo - Cesano,media,nome-parziale,,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0083,Infrastrutturazione area stazione Tiburtina e nodo di interscambio Stazione AV stazione Tiburtina e infrastrutturazione area,"registro RFI (CdP Servizi, Allegato 3)",F055,[FIRENZE] FIRENZE ROVEZZANO - SETTE BAGNI [ROMA] (Linea Direttissima),media,nome-parziale,,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0083,Infrastrutturazione area stazione Tiburtina e nodo di interscambio Stazione AV stazione Tiburtina e infrastrutturazione area,"registro RFI (CdP Servizi, Allegato 3)",F057,[ROMA] TORRICOLA - FRATTAMAGGIORE [NAPOLI] (via Formia),media,nome-parziale,,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0083,Infrastrutturazione area stazione Tiburtina e nodo di interscambio Stazione AV stazione Tiburtina e infrastrutturazione area,"registro RFI (CdP Servizi, Allegato 3)",F061,(comprese linee Rocca d'Evandro - Venafro/Vairano e Santa Maria C.V. - Maddaloni M. S.to e linee Bivio Maddaloni /,media,nome-parziale,,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0083,Infrastrutturazione area stazione Tiburtina e nodo di interscambio Stazione AV stazione Tiburtina e infrastrutturazione area,"registro RFI (CdP Servizi, Allegato 3)",N007,Roma,media,nome-parziale,,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0099A,Itinerario Napoli-Bari: Raddoppio Bovino-Cervaro Raddoppio Bovino-Cervaro,"registro RFI (CdP Servizi, Allegato 3)",C150,Bari - Brindisi,media,nome-parziale,bari,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0099A,Itinerario Napoli-Bari: Raddoppio Bovino-Cervaro Raddoppio Bovino-Cervaro,"registro RFI (CdP Servizi, Allegato 3)",C158,Bari - Gioia Del Colle,media,nome-parziale,bari,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0099A,Itinerario Napoli-Bari: Raddoppio Bovino-Cervaro Raddoppio Bovino-Cervaro,"registro RFI (CdP Servizi, Allegato 3)",F069,FOGGIA - BARI (compresa Enziteto Catino - Bari S.Spirito),media,nome-parziale,bari,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0099A,Itinerario Napoli-Bari: Raddoppio Bovino-Cervaro Raddoppio Bovino-Cervaro,"registro RFI (CdP Servizi, Allegato 3)",N008,Napoli,media,nome-parziale,napoli,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0099A,Itinerario Napoli-Bari: Raddoppio Bovino-Cervaro Raddoppio Bovino-Cervaro,"registro RFI (CdP Servizi, Allegato 3)",F071,CASERTA - FOGGIA,media,nome-parziale,,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0099A,Itinerario Napoli-Bari: Raddoppio Bovino-Cervaro Raddoppio Bovino-Cervaro,"registro RFI (CdP Servizi, Allegato 3)",F073,[NAPOLI] PORTICI - SALERNO,media,nome-parziale,,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0099B,Itinerario Napoli-Bari: Raddoppio Orsara-Bovino Raddoppio Orsara-Bovino,"registro RFI (CdP Servizi, Allegato 3)",C150,Bari - Brindisi,media,nome-parziale,bari,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0099B,Itinerario Napoli-Bari: Raddoppio Orsara-Bovino Raddoppio Orsara-Bovino,"registro RFI (CdP Servizi, Allegato 3)",C158,Bari - Gioia Del Colle,media,nome-parziale,bari,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0099B,Itinerario Napoli-Bari: Raddoppio Orsara-Bovino Raddoppio Orsara-Bovino,"registro RFI (CdP Servizi, Allegato 3)",F069,FOGGIA - BARI (compresa Enziteto Catino - Bari S.Spirito),media,nome-parziale,bari,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0099B,Itinerario Napoli-Bari: Raddoppio Orsara-Bovino Raddoppio Orsara-Bovino,"registro RFI (CdP Servizi, Allegato 3)",N008,Napoli,media,nome-parziale,napoli,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0099B,Itinerario Napoli-Bari: Raddoppio Orsara-Bovino Raddoppio Orsara-Bovino,"registro RFI (CdP Servizi, Allegato 3)",F071,CASERTA - FOGGIA,media,nome-parziale,,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0099B,Itinerario Napoli-Bari: Raddoppio Orsara-Bovino Raddoppio Orsara-Bovino,"registro RFI (CdP Servizi, Allegato 3)",F073,[NAPOLI] PORTICI - SALERNO,media,nome-parziale,,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0099C,Itinerario Napoli-Bari: Opere di completamento raddoppio Vitulano-Apice Interventi di completamento raddoppio Vitulano-Apice,"registro RFI (CdP Servizi, Allegato 3)",C150,Bari - Brindisi,media,nome-parziale,bari,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0099C,Itinerario Napoli-Bari: Opere di completamento raddoppio Vitulano-Apice Interventi di completamento raddoppio Vitulano-Apice,"registro RFI (CdP Servizi, Allegato 3)",C158,Bari - Gioia Del Colle,media,nome-parziale,bari,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0099C,Itinerario Napoli-Bari: Opere di completamento raddoppio Vitulano-Apice Interventi di completamento raddoppio Vitulano-Apice,"registro RFI (CdP Servizi, Allegato 3)",F069,FOGGIA - BARI (compresa Enziteto Catino - Bari S.Spirito),media,nome-parziale,bari,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0099C,Itinerario Napoli-Bari: Opere di completamento raddoppio Vitulano-Apice Interventi di completamento raddoppio Vitulano-Apice,"registro RFI (CdP Servizi, Allegato 3)",N008,Napoli,media,nome-parziale,napoli,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0099C,Itinerario Napoli-Bari: Opere di completamento raddoppio Vitulano-Apice Interventi di completamento raddoppio Vitulano-Apice,"registro RFI (CdP Servizi, Allegato 3)",F071,CASERTA - FOGGIA,media,nome-parziale,,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0099C,Itinerario Napoli-Bari: Opere di completamento raddoppio Vitulano-Apice Interventi di completamento raddoppio Vitulano-Apice,"registro RFI (CdP Servizi, Allegato 3)",F073,[NAPOLI] PORTICI - SALERNO,media,nome-parziale,,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0100,"Raddoppio Bari-Taranto Raddoppio Bari S.Andrea - Bitetto e Castellaneta-Palagianello e interventi di completamento tratte già raddoppiate, bretella di collegamento Bari-Taranto-Metaponto","registro RFI (CdP Servizi, Allegato 3)",C159,Gioia Del Colle - Taranto,alta,nome-parziale,taranto,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0100,"Raddoppio Bari-Taranto Raddoppio Bari S.Andrea - Bitetto e Castellaneta-Palagianello e interventi di completamento tratte già raddoppiate, bretella di collegamento Bari-Taranto-Metaponto","registro RFI (CdP Servizi, Allegato 3)",C156,Metaponto - Taranto,alta,nome,metaponto|taranto,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0100,"Raddoppio Bari-Taranto Raddoppio Bari S.Andrea - Bitetto e Castellaneta-Palagianello e interventi di completamento tratte già raddoppiate, bretella di collegamento Bari-Taranto-Metaponto","registro RFI (CdP Servizi, Allegato 3)",C158,Bari - Gioia Del Colle,alta,nome-parziale,bari,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0100,"Raddoppio Bari-Taranto Raddoppio Bari S.Andrea - Bitetto e Castellaneta-Palagianello e interventi di completamento tratte già raddoppiate, bretella di collegamento Bari-Taranto-Metaponto","registro RFI (CdP Servizi, Allegato 3)",C150,Bari - Brindisi,media,nome-parziale,bari,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0100,"Raddoppio Bari-Taranto Raddoppio Bari S.Andrea - Bitetto e Castellaneta-Palagianello e interventi di completamento tratte già raddoppiate, bretella di collegamento Bari-Taranto-Metaponto","registro RFI (CdP Servizi, Allegato 3)",C157,Taranto - Brindisi,media,nome-parziale,taranto,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0100,"Raddoppio Bari-Taranto Raddoppio Bari S.Andrea - Bitetto e Castellaneta-Palagianello e interventi di completamento tratte già raddoppiate, bretella di collegamento Bari-Taranto-Metaponto","registro RFI (CdP Servizi, Allegato 3)",F069,FOGGIA - BARI (compresa Enziteto Catino - Bari S.Spirito),media,nome-parziale,bari,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0115,Raddoppio Messina - Siracusa 1^ fase Raddoppio Catania Ognina - Catania Centrale e interventi di completamento raddoppio Fiumefreddo-Giarre e Targia - Siracusa,"registro RFI (CdP Servizi, Allegato 3)",C169,Messina - Catania,alta,nome,messina|catania,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0115,Raddoppio Messina - Siracusa 1^ fase Raddoppio Catania Ognina - Catania Centrale e interventi di completamento raddoppio Fiumefreddo-Giarre e Targia - Siracusa,"registro RFI (CdP Servizi, Allegato 3)",C170,Catania  - Lentini Diramazione,media,nome-parziale,catania,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0115,Raddoppio Messina - Siracusa 1^ fase Raddoppio Catania Ognina - Catania Centrale e interventi di completamento raddoppio Fiumefreddo-Giarre e Targia - Siracusa,"registro RFI (CdP Servizi, Allegato 3)",C171,Lentini Diramazione - Siracusa,media,nome-parziale,siracusa,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0115,Raddoppio Messina - Siracusa 1^ fase Raddoppio Catania Ognina - Catania Centrale e interventi di completamento raddoppio Fiumefreddo-Giarre e Targia - Siracusa,"registro RFI (CdP Servizi, Allegato 3)",C174,Modica - Siracusa,media,nome-parziale,siracusa,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0115,Raddoppio Messina - Siracusa 1^ fase Raddoppio Catania Ognina - Catania Centrale e interventi di completamento raddoppio Fiumefreddo-Giarre e Targia - Siracusa,"registro RFI (CdP Servizi, Allegato 3)",C175,Messina - Fiumetorto,media,nome-parziale,messina,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
0115,Raddoppio Messina - Siracusa 1^ fase Raddoppio Catania Ognina - Catania Centrale e interventi di completamento raddoppio Fiumefreddo-Giarre e Targia - Siracusa,"registro RFI (CdP Servizi, Allegato 3)",C178,Bicocca - Caltanissetta Xirbi,media,nome-parziale,,,no,"dedotto: i CdP Investimenti non dichiarano la linea; associazione ricavata da nomi e comuni citati, in corso di verifica"
