codice_linea,denominazione,gruppo_traffico,km,treni_giorno_programmati,fonte_dati,pagina_dati,fonte_denominazione,pagina_denominazione
C142,Sarno - Codola,Linee con <= 40 treni/giorno,7.777,0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C143,Cancello - Sarno,Linee con <= 40 treni/giorno,34.089,31.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C144,Sarno - Biv. S.Lucia 123,Linee con <= 40 treni/giorno,6.529,35.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C145,Nocera Inferiore - Codola,Linee con <= 40 treni/giorno,4.195,9.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C146,Nocera Inferiore - Salerno (via CAVA T.),Linee con > 40 e < 100 treni/giorno,17.051,76.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,31
C147,Salerno - Arechi,Linee con > 40 e < 100 treni/giorno,5.663,65.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,31
C148,Mercato S.Severino - Salerno,Linee con <= 40 treni/giorno,17.627,26.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C150,Bari - Brindisi,Linee con > 40 e < 100 treni/giorno,110.923,96.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,31
C151,Brindisi - Lecce,Linee con > 40 e < 100 treni/giorno,41.935,76.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,31
C152,Bari - Bitritto,Linee con <= 40 treni/giorno,9.284,28.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,"CdP Servizi, secondo atto integrativo (agg. 2024)",14
C153,Cervaro - Rocchetta S.A.L.,Linee con <= 40 treni/giorno,41.371,22.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C154,Rocchetta S.A.L. - Potenza,Linee con <= 40 treni/giorno,69.035,25.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C155,Potenza  - Metaponto,Linee con <= 40 treni/giorno,107.108,12.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C156,Metaponto - Taranto,Linee con <= 40 treni/giorno,45.453,18.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C157,Taranto - Brindisi,Linee con <= 40 treni/giorno,69.169,18.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C158,Bari - Gioia Del Colle,Linee con > 40 e < 100 treni/giorno,52.964,41.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,29
C159,Gioia Del Colle - Taranto,Linee con > 40 e < 100 treni/giorno,54.299,42.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,29
C160,Metaponto - Sibari,Linee con <= 40 treni/giorno,79.02,9.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C161,Sibari - Catanzaro Lido,Linee con <= 40 treni/giorno,172.483,22.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C162,Catanzaro Lido - REGGIO C CLE,Linee con <= 40 treni/giorno,177.55,28.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C163,Lamezia Terme - Catanzaro Lido,Linee con <= 40 treni/giorno,43.16,22.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C164,Paola - Castiglione C.,Linee con > 40 e < 100 treni/giorno,21.551,44.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,31
C165,S.Lucido Marina - Bivio Pantani,Linee con <= 40 treni/giorno,4.152,5.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C166,B.S.Antonello - Bivio Settimo,Linee con <= 40 treni/giorno,2.748,7.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C167,Castiglione C. - Cosenza,Linee con > 40 e < 100 treni/giorno,4.335,49.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,31
C168,Sibari - Castiglione C.,Linee con <= 40 treni/giorno,59.545,18.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C169,Messina - Catania,Linee con > 40 e < 100 treni/giorno,94.771,62.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,31
C170,Catania  - Lentini Diramazione,Linee con <= 40 treni/giorno,22.889,40.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,31
C171,Lentini Diramazione - Siracusa,Linee con <= 40 treni/giorno,60.065,28.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C172,Lentini Diramazione - Gela,Linee con <= 40 treni/giorno,111.406,4.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C173,Gela - Modica,Linee con <= 40 treni/giorno,89.658,12.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C174,Modica - Siracusa,Linee con <= 40 treni/giorno,91.698,11.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C175,Messina - Fiumetorto,Linee con <= 40 treni/giorno,199.342,40.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C176,Fiumetorto - Palermo,Linea con >= 100 treni/giorno,43.219,100.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,33
C177,Caltanissetta Xirbi - Roccapalumba-A.,Linee con <= 40 treni/giorno,56.573,21.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C178,Bicocca - Caltanissetta Xirbi,Linee con <= 40 treni/giorno,107.514,21.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C180,Roccapalumba-A. - Fiumetorto,Linee con <= 40 treni/giorno,25.955,34.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C181,Palermo - Carini,Linee con > 40 e < 100 treni/giorno,33.853,67.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,31
C182,Roccapalumba-A. - Aragona Caldare,Linee con <= 40 treni/giorno,46.692,25.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C183,Aragona Caldare - Agrigento,Linee con <= 40 treni/giorno,12.614,30.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C184,Palermo Centrale - Palermo Marittima,Linee con > 40 e < 100 treni/giorno,7.338,60.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,31
C185,Olbia - Ozieri Chilivani,Linee con <= 40 treni/giorno,70.506,15.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C186,Sassari - Ozieri Chilivani,Linee con <= 40 treni/giorno,46.588,19.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C187,Ozieri Chilivani - Decimomannu,Linee con <= 40 treni/giorno,191.455,24.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C188,Decimomannu - Cagliari,Linea con >= 100 treni/giorno,16.241,101.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",16,CdP 2022-2026 parte Servizi,33
C189,Villamassargia  - Decimomannu,Linee con <= 40 treni/giorno,28.552,32.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C190,Iglesias - Villamassargia,Linee con <= 40 treni/giorno,9.115,32.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C191,Carbonia  - Villamassargia,Linee con <= 40 treni/giorno,22.371,26.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C192,Alcamo - Castelvetrano - Trapani,Linee con <= 40 treni/giorno,116.118,18.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C193,Alessandria - Ovada,Linee con <= 40 treni/giorno,32.954,11.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C194,Asciano - Monte Antico,Linee con <= 40 treni/giorno,51.211,0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C195,Asti - Nizza Monferrato -Acqui Terme,Linee con <= 40 treni/giorno,45.465,14.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C196,Viterbo - Attigliano,Linee con <= 40 treni/giorno,39.062,13.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C197,Avellino - Benevento,Linee con <= 40 treni/giorno,29.786,0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C198,Spinazzola - Barletta,Linee con <= 40 treni/giorno,65.682,0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C199,Biella - Novara,Linee con <= 40 treni/giorno,50.766,27.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C201,Caltanissetta Xirbi - Canicattì - Aragona,Linee con <= 40 treni/giorno,64.737,10.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C202,Campobasso - Bosco Redole - Benevento,Linee con <= 40 treni/giorno,84.311,0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C204,Carini - Alcamo Diramazione - Trapani,Linee con <= 40 treni/giorno,93.532,10.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C205,Casarsa - San Vito - Portogruaro,Linee con <= 40 treni/giorno,21.116,16.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C206,Cavallermaggiore - Cantalupo,Linee con <= 40 treni/giorno,90.022,14.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C207,Cecina - Volterra Saline,Linee con <= 40 treni/giorno,29.484,0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C208,Ceva - Ormea,Linee con <= 40 treni/giorno,35.432,0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C209,Chivasso - Asti,Linee con <= 40 treni/giorno,51.316,0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C210,Canicattì  - Gela,Linee con <= 40 treni/giorno,81.878,5.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C211,Giulianova - Teramo,Linee con <= 40 treni/giorno,25.077,35.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C212,Isola della Scala - Cerea,Linee con <= 40 treni/giorno,19.557,21.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C213,Legnago - Monselice,Linee con <= 40 treni/giorno,37.947,23.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C214,Legnago - Rovigo,Linee con <= 40 treni/giorno,47.064,22.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C215,Mercato S.Severino - Avellino,Linee con <= 40 treni/giorno,30.042,0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C216,Codola - Mercato S.Severino,Linee con <= 40 treni/giorno,8.262,9.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C217,Mondovì - Cuneo,Linee con <= 40 treni/giorno,26.881,0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C218,Mortara - Casale Monferr. - Asti,Linee con <= 40 treni/giorno,71.937,10.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C219,Pinerolo - Torre Pellice,Linee con <= 40 treni/giorno,16.149,0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C220,Agrigento Bassa - Porto Empedocle,Linee con <= 40 treni/giorno,10.085,0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C221,Primolano - Bassano del Grappa,Linee con <= 40 treni/giorno,28.719,19.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,29
C222,Priverno Fossanova - Terracina,Linee con <= 40 treni/giorno,17.689,0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,30
C223,Rocchetta S.A.L. - Avellino,Linee con <= 40 treni/giorno,118.72,0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,30
C224,Rocchetta S.A.L. - Spinazzola - Gioia del Colle,Linee con <= 40 treni/giorno,139.292,4.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,30
C225,Rovigo - Chioggia,Linee con <= 40 treni/giorno,55.792,13.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,30
C226,Gemona del Friuli  - Pinzano - Sacile,Linee con <= 40 treni/giorno,74.114,13.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,30
C227,Santhià - Arona,Linee con <= 40 treni/giorno,65.009,0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,30
C228,Siena - Monte Antico - Montepescali,Linee con <= 40 treni/giorno,88.876,13.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,30
C229,Sulmona - Carpinone,Linee con <= 40 treni/giorno,118.1,0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,30
C230,Termoli - Campobasso,Linee con <= 40 treni/giorno,87.206,2.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,30
C231,Terni - Sulmona,Linee con <= 40 treni/giorno,163.498,21.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,30
C232,Trento - Primolano,Linee con <= 40 treni/giorno,66.992,31.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,30
C233,Vercelli - Casale Popolo,Linee con <= 40 treni/giorno,19.224,0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,30
C234,Palazzolo sull'Oglio - Paratico Sarnico,Linee con <= 40 treni/giorno,9.429,0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,30
C235,Ciampino - Frascati,Linee con <= 40 treni/giorno,9.663,28.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,30
C236,Foggia - Manfredonia,Linee con <= 40 treni/giorno,35.684,3.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,30
C237,Golfo Aranci Mar.ma - Olbia,Linee con <= 40 treni/giorno,22.742,12.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,30
C239,Pergola - Fabriano,Linee con <= 40 treni/giorno,31.605,0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,30
C241,Porto Torres Pcc - Sassari,Linee con <= 40 treni/giorno,19.342,9.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,30
C242,Salsomaggiore T. - Fidenza,Linee con > 40 e < 100 treni/giorno,9.03,44.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,32
C243,Saluzzo - Cuneo,Linee con <= 40 treni/giorno,33.607,3.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,30
C244,Santhià - Biella S.Paolo,Linee con <= 40 treni/giorno,26.724,28.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,30
C245,Savigliano - Saluzzo,Linee con <= 40 treni/giorno,14.88,0,"CdP Servizi, secondo atto integrativo (agg. 2024)",14,CdP 2022-2026 parte Servizi,30
C246,Susa - Bussoleno,Linee con <= 40 treni/giorno,7.526,33.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,30
C247,Torre A.Centrale - Gragnano,Linee con <= 40 treni/giorno,10.455,12.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,30
C248,Trofarello - Chieri,Linee con <= 40 treni/giorno,8.564,37.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,30
C251,Perugia P.S.G. - Sansepolcro,Linee con <= 40 treni/giorno,52.214,20.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,30
E000,Vievola - Breil Sur Roya,Linee con <= 40 treni/giorno,46.999,0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,30
F001,MODANE / MODANE FX - ALPIGNANO [TORINO],Linee con > 40 e < 100 treni/giorno,91.905,61.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,32
F003,[TORINO] TROFARELLO - ARQUATA,Linee con > 40 e < 100 treni/giorno,112.154,88.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,32
F005,[MILANO] MILANO ROGOREDO - ARQUATA (compresa via Novi L. e via Bressana,Linea con >= 100 treni/giorno,123.535,142.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",16,"CdP Servizi, primo atto integrativo (agg. 2023)",13
F007,SAVONA -  GENOVA VOLTRI [GENOVA],Linea con >= 100 treni/giorno,32.032,102.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",16,CdP 2022-2026 parte Servizi,32
F009,VENTIMIGLIA - SAVONA,Linee con > 40 e < 100 treni/giorno,100.871,67.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,32
F011,[TORINO] SETTIMO T. - RHO [MILANO] (compresa Novara Boschetto),Linea con >= 100 treni/giorno,117.838,111.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",16,"CdP Servizi, primo atto integrativo (agg. 2023)",13
F013,ISELLE [DOMODOSSOLA] - GALLARATE [MILANO] (compresa via Domo II),Linee con > 40 e < 100 treni/giorno,85.934,71.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,"CdP Servizi, primo atto integrativo (agg. 2023)",12
F015,PINO TRONZANO [LUINO] - GALLARATE,Linee con > 40 e < 100 treni/giorno,45.798,49.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,32
F017,CHIASSO - SEREGNO [MILANO] (compresa via Monteolimpino 2),Linea con >= 100 treni/giorno,40.809,148.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",16,"CdP Servizi, primo atto integrativo (agg. 2023)",13
F019,ARQUATA - MIGNANEGO / GENOVA RIVAROLO / GENOVA CAMPASSO,Linee con > 40 e < 100 treni/giorno,58.248,94.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,"CdP Servizi, primo atto integrativo (agg. 2023)",12
F021,ALESSANDRIA - PIACENZA (compresa Broni - Bressana B.),Linee con > 40 e < 100 treni/giorno,81.716,66.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,32
F023,[MILANO] PIOLTELLO L. - BRESCIA  VERONA,Linea con >= 100 treni/giorno,146.953,149.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",16,CdP 2022-2026 parte Servizi,33
F023AV,PIOLTELLO L. - BRESCIA AVAC,Linea con >= 100 treni/giorno,15.115,245.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",16,CdP 2022-2026 parte Servizi,33
F025,VERONA  - PADOVA,Linea con >= 100 treni/giorno,84.972,172.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",16,CdP 2022-2026 parte Servizi,33
F027,BRENNERO - VERONA,Linea con >= 100 treni/giorno,243.893,154.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",16,CdP 2022-2026 parte Servizi,33
F029,VERONA  - TAVERNELLE [BOLOGNA],Linee con > 40 e < 100 treni/giorno,105.561,98.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,33
F031,PADOVA - S.PIETRO IN CASALE [BOLOGNA],Linea con >= 100 treni/giorno,102.49,179.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",16,CdP 2022-2026 parte Servizi,33
F033,PADOVA - MIRA M. [VENEZIA],Linea con >= 100 treni/giorno,20.528,103.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",16,CdP 2022-2026 parte Servizi,33
F033AV,PADOVA - VENEZIA AVAC,Linea con >= 100 treni/giorno,25.782,226.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",16,CdP 2022-2026 parte Servizi,33
F035,[VENEZIA] VENEZIA CARPENEDO - VILLA OPICINA / TRIESTE,Linea con >= 100 treni/giorno,187.912,117.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",16,"CdP Servizi, primo atto integrativo (agg. 2023)",13
F037,TARVISIO BOSCOVERDE  - MOGLIANO [VENEZIA],Linea con >= 100 treni/giorno,219.866,111.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",16,CdP 2022-2026 parte Servizi,33
F039,UDINE - MONFALCONE via GORIZIA (compresa Gorizia - Nova Gorica),Linee con > 40 e < 100 treni/giorno,63.294,75.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,"CdP Servizi, primo atto integrativo (agg. 2023)",12
F041,[MILANO] MILANO ROGOREDO - LAVINO [BOLOGNA],Linea con >= 100 treni/giorno,204.501,209.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",16,CdP 2022-2026 parte Servizi,33
F041AV,MILANO ROGOREDO - MELEGNANO AVAC,Linea con >= 100 treni/giorno,13.888,255.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",16,CdP 2022-2026 parte Servizi,33
F043,[BOLOGNA] BOLOGNA S.RUFFILLO - FIRENZE CASTELLO  [FIRENZE],Linee con > 40 e < 100 treni/giorno,96.132,95.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,"CdP Servizi, primo atto integrativo (agg. 2023)",12
F045,[GENOVA] GENOVA NERVI - PISA,Linea con >= 100 treni/giorno,158.493,146.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",16,CdP 2022-2026 parte Servizi,33
F047,PARMA / FIDENZA - PONTREMOLI - VEZZANO / SARZANA,Linee con > 40 e < 100 treni/giorno,151.325,41.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,32
F049,[FIRENZE] FIRENZE CASCINE - PISA,Linea con >= 100 treni/giorno,90.513,133.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",16,CdP 2022-2026 parte Servizi,33
F051,PISA  - MACCARESE [ROMA] (compresa Vada - Collesalvetti),Linee con > 40 e < 100 treni/giorno,359.872,78.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,32
F053,[FIRENZE]  FIRENZE ROVEZZANO - FARA SABINA [ROMA] (Linea Lenta),Linee con > 40 e < 100 treni/giorno,270.732,83.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,"CdP Servizi, primo atto integrativo (agg. 2023)",12
F055,1,Linea con >= 100 treni/giorno,271.19,243.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",16,"CdP Servizi, primo atto integrativo (agg. 2023)",13
F057,[ROMA] TORRICOLA - FRATTAMAGGIORE [NAPOLI] (via Formia),Linea con >= 100 treni/giorno,187.987,123.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",16,"CdP Servizi, primo atto integrativo (agg. 2023)",13
F059,VILLA LITERNO - POZZUOLI [NAPOLI],Linee con <= 40 treni/giorno,20.991,40.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,30
F061,[ROMA] CIAMPINO - ACERRA [NAPOLI] (via Cassino) (comprese linee Rocca,Linee con > 40 e < 100 treni/giorno,237.653,68.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,"CdP Servizi, primo atto integrativo (agg. 2023)",12
F063,[BOLOGNA] MIRANDOLA O. - ANCONA (compresa Ancona - Ancona Marittima),Linea con >= 100 treni/giorno,193.09,175.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",16,"CdP Servizi, primo atto integrativo (agg. 2023)",13
F065,ANCONA - ORTE (compresa Ancona - Ancona Marittima),Linee con <= 40 treni/giorno,203.092,40.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,30
F067,ANCONA - FOGGIA,Linea con >= 100 treni/giorno,319.483,122.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",16,CdP 2022-2026 parte Servizi,33
F069,FOGGIA - BARI (compresa Enziteto Catino - Bari S.Spirito),Linea con >= 100 treni/giorno,128.469,134.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",16,CdP 2022-2026 parte Servizi,33
F071,CASERTA - FOGGIA,Linee con <= 40 treni/giorno,159.42,34.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,30
F073,[NAPOLI] PORTICI - SALERNO,Linee con > 40 e < 100 treni/giorno,47.956,96.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,32
F073AV,NAPOLI - SALERNO LMV,Linea con >= 100 treni/giorno,37.535,136.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",16,CdP 2022-2026 parte Servizi,33
F075,SALERNO - PAOLA,Linee con > 40 e < 100 treni/giorno,216.704,80.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,32
F077,PAOLA - REGGIO CALABRIA CENTRALE (compresa Eccellente - Rosarno),Linee con > 40 e < 100 treni/giorno,250.472,59.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,"CdP Servizi, primo atto integrativo (agg. 2023)",12
