codice_linea,denominazione,gruppo_traffico,km,treni_giorno_programmati,fonte_dati,pagina_dati,fonte_denominazione,pagina_denominazione
C031,Vogogna Ossola - Premosello  Chiov.,Linee con <= 40 treni/giorno,2.617,28.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,28
C032,Premosello Chiov. - Cuzzago,Linee con > 40 e < 100 treni/giorno,3.793,42.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,31
C033,Cuzzago - Borgomanero,Linee con > 40 e < 100 treni/giorno,37.196,42.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,31
C034,Borgomanero - Vignale,Linee con > 40 e < 100 treni/giorno,27.132,43.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,31
C035,Varallo Sesia - Vignale,Linee con <= 40 treni/giorno,50.823,0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,28
C036,Laveno Mombello - Oleggio,Linee con <= 40 treni/giorno,36.15,20.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,28
C037,Tirano - Sondrio,Linee con <= 40 treni/giorno,25.957,29.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,28
C038,Chiavenna - Colico,Linee con <= 40 treni/giorno,26.282,30.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,28
C039,Sondrio - Colico,Linee con > 40 e < 100 treni/giorno,40.465,50.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,31
C040,Colico - Lecco,Linee con > 40 e < 100 treni/giorno,38.979,56.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,31
C041,Albate Camerlata - Molteno,Linee con <= 40 treni/giorno,22.063,18.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,28
C042,Monza - Molteno,Linee con <= 40 treni/giorno,29.214,35.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,28
C043,Molteno - Lecco,Linee con <= 40 treni/giorno,14.715,39.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,28
C044,Lecco - Ponte S.Pietro,Linee con > 40 e < 100 treni/giorno,25.191,59.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,31
C045,Calolziocorte O. - Carnate Usmate,Linea con >= 100 treni/giorno,18.104,108.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,33
C046,Carnate Usmate - Monza,Linea con >= 100 treni/giorno,11.803,146.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,33
C047,Seregno - Ponte S.Pietro,Linee con <= 40 treni/giorno,31.867,24.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,28
C048,Ponte S.Pietro - Rovato,Linee con <= 40 treni/giorno,39.454,34.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,31
C049,Porto Ceresio - Varese - Gallarate,Linea con >= 100 treni/giorno,39.307,100.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,31
C050,Bivio Bergamo - Treviglio Ovest,Linee con > 40 e < 100 treni/giorno,2.527,50.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,31
C051,Bergamo - Treviglio Ovest - Treviglio,Linee con > 40 e < 100 treni/giorno,21.882,82.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,31
C052,S. Zeno Folzano - Olmeneta,Linee con <= 40 treni/giorno,33.704,32.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",13,CdP 2022-2026 parte Servizi,28
C053,Olmeneta - Cremona,Linee con > 40 e < 100 treni/giorno,10.831,66.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,31
C054,Cremona - Castelvetro,Linee con > 40 e < 100 treni/giorno,6.087,47.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,28
C055,Castelvetro - Fidenza,Linee con > 40 e < 100 treni/giorno,27.806,47.0,"CdP Servizi, secondo atto integrativo (agg. 2024)",15,CdP 2022-2026 parte Servizi,28
